,song_name,lyrics,release_date,impression
10,Open It Up,"Uh ahhh open it upあるはずもない扉What？ ahhh who gives a fuckみな同じ穴のむじなWait ahhh　いただきますお宝全部いただきますWow ahhh open it upUh ahhhh open it upひらけゴマまだ見ぬお宝が眠る境地の扉を開け怖がらずに Open the fuck up　脳みそパッカンで飛び立つタケコプターくだらんルールの重力無視して FloatI get so high　アブラカタブラ言葉は現実の種Jackson Janet みたいに Anytime anyplace　目を見開き ReadyOutta planet　地球の外から手を振る I say　お先にじゃーね「暇じゃねー」唾奇みたいにいつでも Fucking　行方不明 MIA月を目掛けチャリ漕いでいったホフマン先生 God dammitRocket science　太陽までの 93million　マイルを全速力で飛ばす原動力得るため刺激する前頭葉 CortexHahaha bitches them vexお前の Flow　飽きた What's next気持ちいとこ突いてよ Like sexYou ain't Mr. right, you're left私の Bad bitches　団結安さが取り柄の Fake hoes　全滅前代未聞の Vision にアクセスバグった女神が生み出す伝説あーだ　こーだ　どーだ　No だあんた　指導者気取った Joker you ain't YodaWater　さえも犯され放題胡麻擂り誤魔化す公害なんてこった　まー濁った SodaPo up　乾いた喉が Saok up許可とか評価とか BogusHocus pocus　坊やほら FocusUh ahhh open it upあるはずもない扉What？ ahhh who gives a fuckみな同じ穴のむじなWait ahhh　いただきますお宝全部いただきますWow ahhh open it upUh ahhhh open it upこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2020/1/11,情報なし
11,かくれんぼ,億千万のハートブレイクこの青い星を蠢く吐き捨てた台詞はイノセンス見つけて欲しくて泣いてる曇りのち雨かくれんぼする　もういいかい？まだだよ Falling down　まただよもう探さないで…ビルの隙間に覗く笑いLow を誤魔化すためだけの High吸い殻と抜け殻捨てて Flyけど僕らに帰る場所は無いいつからか君は　薬がないと笑えなくなってった何度追いかけても「大丈夫　僕はこんな運命だ」ってさもういいかい？もういいよ痛みも苦しみも Say good bye半分噛み砕いて AllnightOverdose してるみたいもういいかい？もういいよわかってる　君は精一杯そんなに謝らなくても I know手を繋いでいてI know you been feeling downBeen looking for you all around townCan you hear me callingCan you hear me calling億千万のストーリーズこの青い星を蠢く速度は増してくエンドレス動けずに肩をすぼめるI said I'm sorryあの日渡した手紙は今日君の部屋の片隅の方ただ落ちたままだったよとめどなく流れる情報埋もれる Your soul嘘はもうよそうJust tell me　今どこ？会いにいく速攻I can't miss you no more君はかさぶただらけの心で呟いた「幸せなんて馬鹿しかなれないんでしょ？」「馬鹿しかなれないんでしょ？」もういいかい？もういいよ痛みも苦しみも Say good bye半分噛み砕いて AllnightOverdose してるみたいもういいかい？もういいよわかってる　君は精一杯そんなに謝らなくても I know手を繋いでいて君が一人彷徨う夜はどうか僕の名前を呼んでWe are just playing hide & seek yeaWe are just playing hide & seek yea君が一人彷徨う夜はどうか僕の名前を呼んでWe are just playing hide & seek yeaWe are just playing hide & seek yeaこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2023/10/25,情報なし
12,紙飛行機,鉛の指から流れるメロディー激しく染める　光の渦あかりの色が奏でるブルースやさしく泣いてる吐息に　甘えさせて…君に飛ばすよ紙飛行機針が指す 4 in the morning頭離れる Body low keyI want you　隠してる本心Long time long texts long distanceそのゆび先が Control me投げた Kiss　交す王子手を振った君は宇宙飛行士Why you wanna go and leave me lonely？思い出はいつでも呑気愛は今でも反抗期So I'm in love alone yeaまだまだ飛べない紙飛行機Oh please take off now from me苦痛に苛まれる Softly切り裂いてくナイフのようにまだまだまだまだ Murder君の名前呼ぶ Louder求めれば切なくOne more timeOne more time鉛の指から流れるメロディー激しく染める　光の渦あかりの色が奏でるブルースやさしく泣いてる吐息に　甘えさせて…浮かぶ氷を揺らす Clockwiseグラスに歪む刹那と Lock eyes心離れる Body talk wiselyハートは Blue like the ivyNo no it's not a crimeYou still want meI still want you時は幻　エゴを包み急がないで急がないで君が閉じたまぶたの裏私だけ映る隠れ家Never ever ever ever wake upCause you're my lifesaver未読を貯める癖 You hate me時間が溶ける夢 You take me深く深く海の底に宝箱を沈めてくようにまだまだまだまだ Murder君の名前呼ぶ Louder求めれば切なくOne more timeOne more time鉛の指から流れるメロディー激しく染める　光の渦あかりの色が奏でるブルースやさしく泣いてる吐息に　甘えさせて…この歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2018/10/10,情報なし
13,Come Again,"Come againCome againCome againCome againBaby girl you've been itchingDo you realizeDo you realizeDo you realizeKarma is aKarma is aKarma is abitch？All the tingsAll the tingsAll the tingsYou did will come back to you in due timeWhen you only deal with fakenessTrue loveTrue lovewill end your lifeDarkness bring the bitch outta meI know you find it very charming闇に咲く月にwe keep on chanting今宵の罪も許されますように無様なほどに欲しがりUnleash your lust unruly頼んでもないのにYou're making love to a savageRude boy slow wine to me重ねて罪Rude boy slow wine to me重ねて罪Come againCome againCome againCome againBaby girl you've been itchingDo you realizeDo you realizeDo you realizeKarma is aKarma is aKarma is abitch？All the tingsAll the tingsAll the tingsYou did will come back to you in due timeWhen you only deal with fakenessTrue loveTrue lovewill end your lifeこの愛は海終わりを始まりを探しても無理まるで赤子のように何も考えずに溺れるのよこの愛は唯一無二I feel your desperation rush through me壊れたことあるこんな風に舐めてあげる膿Rude boy slow wine to meRude boy slow wine slow wine to me形だけでいい辛くなったら嘘でもつけば？随分奥まで来たもんだLet me take away your painLet me grind up on that奥さんと子供はもう済んだ？Look at you pussy got you feeling like the sun huh？Rude boy slow wine to me重ねて罪Rude boy slow wine to me重ねて罪Come againCome againCome againCome againBaby girl you've been itchingDo you realizeDo you realizeDo you realizeKarma is aKarma is aKarma is abitch？All the tingsAll the tingsAll the tingsYou did will come back to you in due timeWhen you only deal with fakenessTrue loveTrue lovewill end your lifeI got 99 problems but not one fuck to giveAnd you ain't gotta save me, noそんなに何が悲しくて真面目に生きるの？I got 99 problems but not one fuck to giveYou ain't gotta save me, noI got 99 problems but not one fuck to giveYou ain't gotta save meYou ain't gotta save meこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2017/8/8,情報なし
14,Gangsta,I sayMan from the gully sideBabylon のジャッジは受けないWe will be alrightGangsta nah leave dem behindGangsta nah leave dem behind仲間は置いていかない要らない Bad mindKeep the fire nowGangsta nah leave dem behindGangsta nah leave dem behindSo much trouble in your eyes守るよ絶対Keep the fire nowGangsta nah leave dem behindAy　たまには Fuck your iPhoneねぇ Dance with me all night longEmpty bottles　あともう何本話は短く Make money go long結局また朝Them ah try　持ち帰りなんて無駄We come together なら We leave together思い上がった Pussy boy は He ah murderMan from the gully side今に掴み取る Big money sign比べモノにもならないなYENTOWN drop　するもの全てが FireTrue friendship は買えないGhost bitches とは Never　付き合わないうるさい奴の Lips get buss on sight心配はないGangsta nah leave dem behindGangsta nah leave dem behind仲間は置いていかない要らない Bad mindKeep the fire nowGangsta nah leave dem behindGangsta nah leave dem behindSo much trouble in your eyes守るよ絶対Keep the fire nowGangsta nah leave dem behindベラベラ喋んなよ We gon be pulling upToyomi が Tell you　口出しするなDon't fuck with young mamaHappy life を壊すやつは流すぜ BloodI'm repping for the young mamas儲ける For my pretty daughters遅れんなよ支払いとかさ叩き込む Good manner like a boxerWe all we got誓い交わして合す手の平秘密、お金、その涙も守るよGangsta nah leave dem behindGangsta nah leave dem behind仲間は置いていかない要らない Bad mindKeep the fire nowGangsta nah leave dem behindGangsta nah leave dem behindSo much trouble in your eyes守るよ絶対Keep the fire nowGangsta nah leave dem behindこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2020/1/11,情報なし
15,"GILA GILA feat. JP THE WAVY, YZERR","IllなLegacy違うエナジー病める民が求むこの言葉がセラピーBad BitchのPedigreeYou're not a friend to me対等に話したいなら登ってこいこのPyramid女神君臨与えるダメージバース蹴ればSpinning bird kicksまるでChung-LiHoly TrinityMoney Power Respect　全てをGetなんて思い描きGrind働く朝昼晩Next place深夜に出番悩みも焦りも全部光に変えてみせるMステ出たから何？ヒットなきゃ続きは無いヒット、ヒット、知らない人にも言われるお前は誰「姉さんならもっとイケる」あの日YZERRが言ってくれた天国から見守ってる死ぬ前のあいつも言っていた逃げられない今更随所に仕掛ける罠Gimme Gucci Pucci and dem Prada急いで来てハバハバI don't got time to play with youとよみも金がかかる耳をかっぽじって聞きな耳揃えてすぐにPay upGILA GILAGIN GIN GILAIce on ice on killaJALA JALAMillion dollarsIce on ice on killaGILA GILAGIN GIN GILAIce on ice on killaHatersお疲れ様Work hard, play harder首元ならキラキラ混ざり気ない純度100%のVVのChain足元からほらほら違いがわかるこの立ち方　靴ならレア俺達いつもヒットヒットヒットずっとLitきっとHaters達ずっと嫉妬一歩一歩ずっとRunnin　出すShitDude一緒　俺ならSicko　今日もAwichに呼ばれりゃ出ない訳ないReady SetAlexにオーダーして作ってもらってるこのDripいくら稼いでも足りないなYenやりたい事にBet Bet Bet　投資しては稼ぐから倍にしなきゃ Do my thing夜中にちょっと相談　そっちの方調子はどうAtlantaのYZERRに電話IceboxでBuss down良いね　俺も速攻で行くわ有言実行っす No cap 1000%やりたい事が言ってたらたまたま叶ったりこの3人ならたちまちバズったり欲しい物なら手に入れる片っ端馬鹿にしてた奴らは赤っ恥出始めから右肩上がりまだ気付けてないような奴ばかり音の上で俺生意気ざかり俺乗ってる波の上やれる事　制限はねぇこの口で稼ぐYen中々こうも上手くいかないと思うけどReal life稼ぐ額増やすぜ　去年の倍GILA GILAGIN GIN GILAIce on ice on killaJALA JALAMillion dollarsIce on ice on killaGILA GILAGIN GIN GILAIce on ice on killaHatersお疲れ様Work hard, play harderGhetto Townから一抜けた川崎生まれのB BoyだったらBad BoyからなるBillionaire口座に積んでる今9桁ギラギラであいつはジェラス嫌いな奴らが狙うダラダラしてたら馬鹿Magic Cityでばら撒くDollar可愛いあの子もこっち来てソファーにゆっくり腰掛けてはルイ・ロデレールの古酒シャンパン会計漢気またじゃんけん今は好きな物チョイスしてるから未来のビジネス投資してるJewelryに全てを使っちまったら寒すぎ今頃凍死してる全国　規模と上がってく精度見つめるエイムは高性能ここまできた博打と才能暗闇の中で振るサイコロ後先より全額ベッド当てれば一夜にして天国それか一人凍える監獄夢から覚め今から交渉数億円する商談Fujiwara Hiroshiの履いてるJordanお前じゃ笑えねえ俺らの冗談痛くも痒くもねえ楽勝じゃん0から手にした二つの賞賛あいつのヘイトもお金と交換時計が差してる天辺と王冠お前との間に線引くBorderTsunami Wavy　街に降らすYenまるでピカチューピカピカすぎ痺れさせるチェーンGILA GILAGIN GIN GILAIce on ice on killaJALA JALAMillion dollarsIce on ice on killaGILA GILAGIN GIN GILAIce on ice on killaHatersお疲れ様Work hard, play harderこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2021/7/30,情報なし
16,Queendom,"安売りした my body and soul鼻で笑われてた「bitch you a Hoe」死ぬほど憧れたフェンスの向こう大嫌いだった Okinawa is my home飛び交うヘリコプターここから飛び立ちたかった重くしがらむこの島のカルマ潜り抜けて開く次のchapter2006 in アトランタI was　19持つFake IDTrap Boysが料理するbig keysはかりの傍らでしたstudy真面目少女が恋したBad Boy使い方を教えられたtoysクローゼットに12ゲージShotgun私のためなら he will clap anyone刑務所を出たり入ったりそれでも愛しあった二人アクリル越しに合わせる手受話器を大きなお腹に当て聞かせる声 From Daddy待ち侘びた出所、結晶、生まれるbabyBirthdays　祝った3人のMemoriesこの幸せが続きますように水曜、ゲートウェイコート4000ブロックの、集合住宅何者かが男性を銃殺警察は周辺を封鎖容疑者は逃走中、I'm confused.It's not you. and That's not true.約束したじゃん死ぬほど愛してるなら生きてよ嘘つき最後の顔焼きつく脳裏Daddyはいるでしょ？いつものように親子で思い出を語る強くならなきゃfor the both of usいつも真っ直ぐな目で言われたんだI love Awich　俺が1番のファンだその頃の私はまだ無名諦めてたステージに立つ夢忘れかけていたビジョンマイナスから数えるミリオン読み返す幼いリリックをそのまま引き出しにしまうの？人生は引き返せない二度とチャンスは自分で掴むものもう一度書き直すシナリオゴールに向かい進む Let me goONE,　知性で稼いでくMoneyTWO,　美声に宿らせるPowerTHREE,　身体に絡みつくRespectFOR the Freedom This is my Queendom極東の女王　イタミはNo more支配するこの理想郷It's the QueendomIt's the QueendomIt's the QueendomThis is my Queendom安売りした my body and soul鼻で笑われてた「bitch you a Hoe」死ぬほど憧れたフェンスの向こう大嫌いだった Okinawa is my home飛び交うヘリコプターの如くDaddyも羽ばたいた次世代に残さないカルマ今開く栄光のchapterONE,　知性で稼いでくMoneyTWO,　美声に宿らせるPowerTHREE,　身体に絡みつくRespectFOR the Freedom This is my Queendom極東の女王　イタミはNo more支配するこの理想郷It's the QueendomIt's the QueendomIt's the QueendomThis is my QueendomONE,　知性で稼いでくMoneyTWO,　美声に宿らせるPowerTHREE,　身体に絡みつくRespectFOR the Freedom This is my Queendom極東の女王　イタミはNo more支配するこの理想郷止められない、Touched by No one荊棘を抜け、立つ武道館この歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2022/3/4,情報なし
17,口に出して,口に出して　溜めてた分全部口に出して　怖がらないでいい口に出して　恥ずかしがらずにほら全部飲み込むから口に出して小っちぇ！　なんでそんな怒ってる？私のギラギラにイライラしてる安い言葉に今さら騙されないし安酒じゃ溶かせないこのIcyI count papers. You count favors見返りばっか求める You a Haterそんなプレゼントなら逆に金払うから二度と出してくんなごちゃごちゃ何言ってんの？舐めてもないのに何イッてんの？口にすら出せないやつらは知らんぷりハートがあるならば見せてよ全部口に出して　溜めてた分全部口に出して　怖がらないでいい口に出して　恥ずかしがらずにほら全部飲み込むから口に出して生死をかけて愛されるのは罪？大事なのは感受性豊かな Pussyあげまんだって　噂になってる私とやればなれる Super SaiyanI'm a gangsta. Sex iconお掃除してあげる Dyson器デカい男なら You know腹ばっか立てずに立てろよChimpoその愛　このBody剥き出し Give it to meウジウジ　しないで出せないならもう私が出すわよBoy口に出して　溜めてた分全部口に出して　怖がらないでいい口に出して　恥ずかしがらずにほら全部飲み込むから口に出してこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2021/8/27,情報なし
18,口に出して 2,まるで Straight off the runwayLooking like a superstarIce cream on a sunday甘くとろける Love全部脱いで For you肌に写す模様浮かんでは消えるだから全部口に出してI love you I need you I miss you I want youI love you I need you I miss you I want youI love you I need you I miss you I want youI love… yea何度でも口に出して言ってちゃんと口に出して言ってI do anything for it　だから In my mouth　いってI know you like how it feel baby feel babyちゃんと全部出して言って For me for meYa I wanna hear youFrom the very 1st time I saw youブレーキ効かない In mindI see no limit　いらない GimmickNo shame in my game ya　欲しいのは君Oh boy　好きでしょ My brain何考えてるか当ててみてI give you head til you feel my thoughtsI give you head til you feel itいつか誰かが Told me真実は UglyBut they ain't really know me切なくなるほどにその愛おしいお口から出る HonestyOh it's so beautiful so beautifulだから全部口に出してI love you I need you I miss you I want youI love you I need you I miss you I want youI love you I need you I miss you I want youI love… yea何度でも口に出して言ってちゃんと口に出して言ってI do anything for it　だから In my mouth　いってI know you like how it feel baby feel babyちゃんと全部出して言って For me for meYa I wanna hear youFrom the very 1st time I saw youブレーキ効かない In mindI see no limit　いらない GimmickNo shame in my game ya　欲しいのは君Oh boy　好きでしょ My brain何考えてるか当ててみてI give you head til you feel my thoughtsI give you head til you feel my thoughtsI give you head til you feel my thoughtsI give you head til you feel itDo you feel it？ Do you feel it？ Do you feel it？We can do it in the darknessWe can do it in the broad dayI can get under the tableSausage with the mapleBack to back to back to back to backJus cas we ableI'm fatal baby can't say noI remind you that I'm gratefulI remind you that you areまるで Straight off the runwayLooking like a superstarIce cream on a sunday甘くとろける Love全部脱いで For you肌に写す模様浮かんでは消えるだから全部口に出してこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2023/10/25,情報なし
19,Crime ft. kZm,"No no, it's not a crimeYou still want meI still want youNobody ever come into my mindThis is still homeIt's not a crimeYou knowNo, it's not a crimeYou still want meI still want youNobody ever come into my sightThis is still homeIt's not a crimeI know you still have videos of me watching it touching yourselfBoy that's my wealthEndless fountainWhip it whip it creamRemember you used to do it with no fakery？I used to be your favorite bakeryWhip it whip it creamI set up shop right on your tongue boy I made you richThen you dove in slowly synchronized with my beatBrown eyes looking from beneath watching how I breatheForce me to recognize you're a beastYou killed me with your shit conniving and sweetIt was love quite obviouslyWhat we lost was love quite obviously時計の針を戻すとまだ聞こえる君の声何かがまた生まれて何がまた壊れるU always by my sideでも今の君は far away on that sideとっくに忘れた顔短く切った髪もいまの君がいまの俺を見たら何を思うあの日を贖罪を？それともまたkissを？切られて見えないSNSから聞こえるSOS今の彼を離れどこか別の場所へThis is not a crimeYou knowNo noThis is not a crimeNo no noFuck whomever there nowShe can't convert you backI'll be backI'll be backI will be back in your lifeYou've got to know it take timeYou've to know it takes…She can't open you like I didI had your pupil wide spreadYou said it's brightYou said it's blindingKind of like drugsKind of like dreamingShe can't open you like I didTalk about your nastiest ideas“Is it like this？”“Is it like that？”Kind of like drugsKind of like dreaming…この歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2017/8/8,情報なし
20,Good Bye,Please don't say goodbyeYou can't say goodbyeGuarantee nobody elseNobody else can love meわかるよ　it's not easyLoving me が make you crazyおかしいよね？But that's just how I liveDrinking and smoking the same ol'強がってるけど　you knowI just need your loveAfter the party　感じる vibesYou need my body on top of your bodyこの胸、顔埋めちやほやされてうぬぼれたエゴさえも君に抱かれるとほらね、元どおりさこんなんじゃよくないよね？Too good for meでも…Please don't say goodbyeYou can't say goodbyeGuarantee nobody elseNobody else can love me誰もが been Heartbroken怖いの　to be open今だけは何も聞かないで口紅 on your cigar脱いだ服が散らかるAnd we just make loveAfter the party　いつも二人誰もいない虚しい朝にYou hold me downYou hold me down君をもっと幸せにできる人はきっと他にいるのにWhy do you stay with me？そんなのわかってるToo good for meでも…Please don't say goodbyeYou can't say goodbyeGuarantee nobody elseNobody else can love meこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2020/8/21,情報なし
21,Guerrilla,天変地異の梵鐘洗い出す　ヒトの本性痛みと煩悩をハーモナイズして金を生み出せる根性No snitch in my family築き上げてく Dynasty毒を持つ蛇は駆除して I put it in my drink飲み干す Your jealousy笑わす You be kidding me時期に意識できる誰と You dealing with頭が高いネズミ No f**k boy no feel on me控えよ　我こそ女神の EpitomeGuerrilla GuerrillaGet it up Get it up Get it upGuerrilla GuerrillaGet it up Get it up Get it up身じろぎもせずに見つめよ尻込みはせずに掴めよGuerrilla GuerrillaGet it up Get it up Get it up嘲笑ってたやつも今じゃ隠せない額の汗Ok　揃ってる Soldiers　全部見てきた光と影Yup　この勝利に全額 BetNope　失うもんなど何もねぇよOpps shooting shots　交わして又 Lay low屈辱倍にして返すチェックメイト東西南北統一して来た In your face like BowClutch time まで　追い詰める We never stop見せてやれ　誰が頂点を RockGuerrilla GuerrillaGet it up Get it up Get it upGuerrilla GuerrillaGet it up Get it up Get it up身じろぎもせずに見つめよ尻込みはせずに掴めよGuerrilla GuerrillaGet it up Get it up Get it up新しい光が洗い出す陰り何を望むの戦いの果てに天と地を逆さにしてしまうほどにこの世には奇跡が隠されてるこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2023/10/25,情報なし
22,Call On Me,"Heyやるならやる OnlyBaby　甘えて All on meYou know you can really call on meCall on meCall on meHeyやるならやる本気Baby　甘えて All on meYou know you can really call on meCall on meCall on meOo we like dem bosses街角の HustlersRisk 背負っても変えてく Rules言わない口実Streets to the officeReal Money Talkingでもたまには弱さを見せて It's cool私なら Hold it downDope Boy Magic掛ける Big chances泣いて笑って当たって砕けてクセになる Madness危険な Romantic私なら Run thisたまには Princess　たまには RiderRespect my gangstaHeyやるならやる OnlyBaby　甘えて All on meYou know you can really call on meCall on meCall on meHeyやるならやる本気Baby　甘えて All on meYou know you can really call on meCall on meCall on meWhere dem bad boys　下げる18金近寄らないで Broke ass b*tchOh oh oh oh ohWhere dem bad boys　動かす Big keysやらない奴ら Talking shitOh oh oh oh ohMake me feel luckyMake it rain on my bodyPrivate party trust me　誰にも口は割らない何も知らないPolice man, we don't know nothing上辺だけの薄っぺらい奴らには Can not judge himWhen you pull up on the south side baby迎える In my MercedesI'm a boss b*tch too now baby見せてあげる My cityAnd we make love all nightYou can come where you likeWe can roll up, bun one, pour up, pop oneToast to the good lifeHeyやるならやる OnlyBaby　甘えて All on meYou know you can really call on meCall on meCall on meHeyやるならやる本気Baby　甘えて All on meYou know you can really call on meCall on meCall on meWhere dem bad boys　下げる18金近寄らないで Broke ass b*tchOh oh oh oh ohWhere dem bad boys　動かす Big keysやらない奴ら Talking shitOh oh oh oh ohこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2023/10/25,情報なし
23,Sign,"Table の上に100 milli yen dealSignしてあげますわこの sex appealいちいち騒ぐな y'all bitches better chillbussed down platinum　凍りつく温度がネガティブ？ポジティブ？舐めちゃってごめん like 飴細工でも吐き出す言葉はカラムーチョスパイシーでホットな、マッチョ？んーもーアメリカ人Give me the moneyBig Ys with the double linesWhere do I sign？採用！みんな社員I am the moneyBoss bitchEverybody waiting for my signA.W.I.C.H.Look at me I'm happeningわたしが AwichHello, I'm back like I never leftBack like I never left　やっぱかけがえ無いこの存在たった一つねRappers　お手上げFuck ya　建前あんたの work とか朝飯前髪は long で爪は gold話は短く　cause I gotta go言葉はストレート bazooka娘は可愛い超 rude gyalGot it from her mamaShe got it from her mamaGo get them mama諭吉と栄一　love Awichstay richBless you with the 女神の叡智A.W.I.C.H.Look at me I'm happeningわたしが AwichHello, I'm back like I never leftこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2020/8/21,情報なし
24,Shook Shook,"「まさか女が来るとは」「君臨するとは」鋭さ、図太さ、備えたブルドーザー耕す game for new order私は無限に続くメビウスの輪Man you know what小さい器で一生懸命料理してる君ごめん無いの興味「Oh god, you are very very 非合理！」言われて、尽きる女神の冥利I don't know maaan we don't know分からない、分けられない善と悪、全ては one　理解し、カッとばっす楽しいことしててもしてない楽Good luckGood luck with your life boyYou better duck when I buck from behind boy壊すルール queen's view は超広い今 bow down する方が潔いFuck is you sayin？You know my nameBetter duck when I bangWhen I come with the brrt brrtBetter duck duckYou are shook shook shook shookI go blazy with the brrt brrtBetter duck duckYou are shook shook shook shook「まさか女が来るとは」Boy I made you look huh？私が that bitch bad and ブルジョワジーI'm a G まさに I'm the keyこのサインなし、では何も進まないつまりは boss gyal　吐き出す fire気に入った坊や達なら I hire呼び名は your highness come admireいきってたアイツらはすでに tiredお疲れ様、オノマトペラッパーズいるの？いないの？あれ？目の錯覚Brainwash　バカばっかだ全くおはようございます wake the fuck upコケコッコー chicken or egg？造り物？ god or man？ロコモコ？ビーフに乗っかる目玉真似事？Have you ever seen somebody shot？Fuck is you sayin？You know my nameBetter duck when I bangWhen I come with the brrt brrtBetter duck duckYou are shook shook shook shookI go blazy with the brrt brrtBetter duck duckYou are shook shook shook shookこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2020/7/15,情報なし
25,Gentle Paranoia,When I am away in my solitudePink roses in bouquet and my dancing shoesI serve my beating heart blood rareNo left oversDon't you dare…I've been falling and falling for moonJust to find the abyss of my bluesI've been falling and falling and falling for youHurry up and bust a parachuteOhI'm so faithful to the shadow of youPosing in the plateau of fearsAnd I'm dyed in the colors you shedAh ahI'm a gentle paranoiaI'm so faithful to the shadow of youPosing in the plateau of fearsAnd I'm dyed in the colors you shedAh ahI'm a gentle paranoiaNo I can't come down on my latitudeBut don't think you are aware of your magnitudeA curse you can't get rid of if you wanted toDarkness illuminates your eyes between my thighsI cling on to the undeniable love between your liesAs your sinful tongue curves the heaven on my pearlI'm ascending over all the limited concepts of this worldI've been falling and falling for moonJust to find the abyss of my bluesI've been falling and falling and falling for youHurry up and bust a parachuteOhI'm so faithful to the shadow of youPosing in the plateau of fearsAnd I'm dyed in the colors you shedAh ahI'm a gentle paranoiaI'm so faithful to the shadow of youPosing in the plateau of fearsAnd I'm dyed in the colors you shedAh ahI'm a gentle paranoiaこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2017/8/8,情報なし
26,Jah Love ft. Yomi Jah,大事な事第一血は水よりも濃いThat's what mama told meでも泥水は血よりも濃い多分それにやられちゃったMy daddyYeah he always told meNot to sell work17.5 same color T-shirtsママの勇気で生き延びた8ヶ月Daddy came home3日後にすぐ破裂した胎包稀に見る安産Love child 5 pound 8 ounces生まれはアトランタ Soやりたいことやるのは条件反射Enfant Terrible私はスターだと教えてくれた父上“Jah”は神“Mirror”は鏡このミドルネームが唯一の形見Only Jah love blessed me through my daysOnly Jah loveSo I hafi give thanks and praise大事な事第一血は水よりも濃いJust the theory慣れないこともある最初はだからHands out your pocketsHead out your assNever focus on your pastAlways keep it moving枠にハマらず　難関もくぐり抜けてきたWe are some trooping commandos腹ん中の時から波乱万丈学校　病院に面会室家に帰れば積まれた督促状危険な目にも合わせたBut you stayed strongA smile can go milesYou taught me thatそんなやだからこそゆっときなどんなとこでも気持ちでUtopiaHe never gave me up and you gave me loveどん底からここまでYou held me upOnly Jah love blessed me through my daysOnly Jah loveSo I hafi give thanks and praiseMe and my babyRiding thru constant spreeAll eyes on weAnd we not pop no styleI said I saidMe and my babyRiding thru constant spreeAll eyes on weAnd they not know a tingLove is all we bringこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2017/8/8,情報なし
27,THE UNION,集えや集えや歌えや踊れや心一つに合わすが如く流離う心や自由ねならん雫はいつか岩をも穿つ日が昇り東の空から世が明けるQueendom　第二章の幕開け武道館に咲いた　八千の Flowers覚悟決め選んだ道は荊Everybody call me queenテレビに Magazine増えてく露出　食事は個室監視の Eyes 24　まるでポリスストリートから雲の上のオフィス増してく Pressure　高くなる Stageダメ出しの曲　やり直しの Take削がれる Energy　時間に追われる歌詞変　赤ペン　失う Myself答え探す間なくまた乗る Jetライブ　取材　すぐに撮影スタッフ100人で乗り込む現場5倍速で進む私の神話迫り来るキャリアの消費期限四方から視線　八方から意見憧れと侮蔑の堺は朧に幾重にものしかかるこの心にそれでも握る Mic目を閉じてまた Rhyme嘘のない言葉を綴った Music歌うたびに溢れてくる勇気島から何かを求め飛び立った自由の地はとても残酷だったここに来てまた壁にぶち当たったが逃げずに歌詞にしてくI'm a rapper叫んでよ Awich見えるあなたの Facesその瞳の中にもあるはず無限大の可能性イタミを知るヒカリ導いてく未来新しい時代見せてやるここに集えThe union集えや集えや歌えや踊れや心一つに合わすが如くLet's make the change together流離う心や自由ねならん雫はいつか岩をも穿つIt's time for the unionRZA に言われた「お前の物語にはある人間の叡智」Like 神の啓示 Life is crazyWu-tang から力もらう Awich憧れのレジェンド達の名前も今では並んでいる電話帳飛び火していく Passion西も東も北も南も合わせる波長起こそうよ Changes作るみんなの Places彷徨える者達の傷を癒す救いの Oasisイタミを知るヒカリ導いてく未来新しい時代見せてやるここに集えThe union集えや集えや歌えや踊れや心一つに合わすが如くLet's make the change together流離う心や自由ねならん雫はいつか岩をも穿つIt's time for the unionこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2023/10/25,情報なし
